92140	107171	
115723	48271	
102913	28062	
52853	95678	
119501	15823	
69740	60169	
7011	34532	
64532	101635	
95120	60612	
32046	97914	
5288	86904	
13943	103981	
2363	11063	
53614	104235	
80615	100620	
18867	19659	
15495	59174	
12491	22146	
16137	73788	
23424	77540	
62878	97755	
63845	20154	
48202	44685	
10679	55996	
103963	12648	
114399	87147	
40374	50032	
35541	102797	
88396	103785	
74270	96326	
109228	21758	
43958	110224	
25715	45319	
107464	98967	
17566	106235	
36249	38580	
87104	33074	
74117	29315	
96719	61204	
63970	3555	
22488	27428	
116033	25033	
18899	71011	
35667	8577	
97489	104930	
32359	112899	
59025	35816	
114385	23086	
87411	91323	
10023	33891	
109508	109583	
102437	21761	
84280	38536	
81200	77752	
25909	90798	
81399	17868	
92235	14764	
114038	102760	
64962	81349	
71445	89628	
63437	71444	
36589	97397	
105178	99453	
69482	76472	
96203	20790	
82891	60411	
3070	3756	
4806	72927	
80776	9747	
26441	110765	
71937	95309	
48156	65036	
27385	438	
47522	94749	
70665	22602	
113727	92211	
8771	42420	
53587	115442	
10827	40116	
58147	44867	
100159	53099	
50265	109169	
61074	94278	
112418	33059	
116854	6597	
31349	21622	
61047	63079	
70708	12022	
101349	63540	
113898	55098	
80234	103654	
53109	56601	
41722	25397	
56957	99276	
85991	7038	
119458	14242	
61588	6671	
90292	75674	
64258	85073	
79067	49888	
98310	5010	
17111	52135	
66523	118767	
93090	106079	
29908	70107	
15026	115475	
12010	8206	
60955	3171	
30707	43532	
98128	5401	
14388	119056	
19146	106473	
38861	34709	
113985	74698	
15442	50754	
69591	73963	
23739	89392	
65876	106516	
88113	39001	
99980	16026	
58248	112030	
6109	86270	
27532	52660	
87253	63139	
30772	65197	
66224	98283	
75508	79839	
7422	87469	
6702	108211	
23203	74516	
47112	8204	
110136	88535	
2073	104081	
18320	83984	
113980	68249	
10133	100860	
26311	84018	
12688	115534	
34838	32462	
15239	6640	
94848	41739	
100672	50903	
78251	77213	
69028	51777	
89468	35098	
31295	19726	
28710	54946	
24356	109560	
60196	80105	
13102	62769	
106882	9699	
89440	109400	
110740	96779	
81326	82135	
31562	105999	
83669	19099	
91548	75099	
103781	116785	
82399	111808	
10975	30906	
68986	113793	
79161	10123	
44530	77754	
46398	13859	
50016	4462	
722	99209	
96517	16235	
83411	118210	
57972	111900	
62044	10348	
109549	10731	
115043	45882	
64010	100625	
40514	60749	
100818	60603	
31699	56235	
69164	101146	
19508	88286	
62381	6152	
88873	71980	
7378	73874	
115617	67438	
65161	1958	
94673	31375	
86506	31066	
17021	419	
51971	116758	
91477	101473	
39056	92576	
80124	102911	
98698	100738	
91427	54824	
82454	346	
85588	61341	
101918	90750	
25739	22053	
35837	98377	
55486	4978	
81364	44743	
45438	93138	
73146	25209	
83062	75150	
90192	67205	
89231	88931	
6449	68605	
48630	28698	
93385	104586	
98549	10630	
87549	90357	
51774	95066	
29960	93777	
19335	26468	
86054	51145	
115086	40810	
106920	12866	
70398	35103	
48424	8940	
20202	69762	
114903	117930	
84534	96468	
119282	60315	
10325	35764	
107603	89669	
60844	100504	
63524	40734	
96726	69482	
113838	67958	
87745	74941	
103567	80836	
96437	51114	
44490	95499	
10933	14539	
106809	89384	
72318	52244	
47005	20283	
56172	22537	
111894	82928	
36604	95967	
99758	72553	
9068	62899	
104271	82697	
78527	19489	
88917	7712	
76316	8643	
72190	48430	
102550	35718	
4158	66326	
7047	103594	
109871	87585	
73877	41558	
113702	72363	
86806	74389	
22433	34670	
96528	57905	
2076	6633	
78105	68522	
102211	32748	
35933	46035	
38721	8707	
80446	30730	
98614	97532	
47574	116690	
10504	76439	
70616	85839	
91409	8906	
28564	110941	
40694	622	
33625	42444	
107543	111625	
109172	75452	
1250	83896	
95063	41938	
77570	74297	
108885	61524	
7349	59603	
97930	74279	
72508	21730	
65048	6818	
23211	93187	
109068	29390	
70112	91416	
17950	116220	
69584	24440	
59607	84483	
68989	61366	
66893	96853	
94340	26125	
8586	99710	
109778	24677	
37963	38456	
90039	14980	
12580	5677	
62419	116500	
79745	81994	
70892	115468	
104967	90875	
98658	112318	
65432	82057	
76794	1981	
61429	96462	
79574	68393	
44031	6993	
94341	74521	
104982	53954	
107255	36515	
79330	95827	
48713	76810	
102000	110960	
43647	86277	
70452	3485	
51151	5928	
98733	52331	
87770	116146	
108454	118615	
95926	60914	
8792	69759	
12070	31190	
29101	26690	
52779	92433	
32991	54323	
99059	75304	
69567	5240	
20144	64410	
40274	43013	
81668	36074	
49046	82353	
73048	1482	
65378	78130	
73868	117222	
31531	61562	
43529	95690	
64162	100205	
100018	114608	
57147	12477	
95736	17450	
4425	80804	
59660	24168	
84229	58429	
47472	103	
61038	33472	
80487	70966	
72266	88216	
83915	76966	
34506	81059	
10749	23886	
109323	115333	
15350	95352	
82873	81897	
110716	64812	
70990	2325	
18673	22934	
25208	361	
1094	41174	
75353	59892	
38668	116197	
117480	107379	
59243	107423	
38965	54759	
63979	30897	
118793	17618	
1328	20767	
23246	55299	
97778	101055	
96457	106442	
50493	13450	
112928	109146	
14347	113233	
41815	74339	
71015	59038	
102707	21194	
79432	78948	
60788	11732	
41686	50874	
114995	18173	
118813	102083	
50707	104233	
38093	98863	
113703	87602	
50795	62042	
94240	45024	
63001	99538	
101041	19382	
56892	70262	
1729	7401	
13007	1977	
65932	114540	
22276	59078	
84631	83494	
64338	42494	
97038	33861	
81440	48796	
37756	38700	
10124	84602	
95013	70600	
52568	65069	
41923	37952	
64497	101258	
40028	106635	
43358	26060	
10300	90715	
17922	29006	
91540	57079	
75213	64178	
111535	33574	
30277	54628	
14925	110343	
109612	58233	
24478	86078	
89551	8881	
49948	55753	
58731	38107	
56645	7600	
109628	8856	
96820	67035	
16931	5751	
72027	106557	
84787	78656	
15519	94446	
47768	2188	
118096	71959	
116644	9617	
54532	43334	
84023	87612	
75023	64226	
51147	113143	
18912	64504	
48922	107338	
46523	9395	
37100	86557	
93134	95467	
105152	43868	
64499	107540	
37462	72435	
36865	65879	
10519	19192	
99151	68989	
81570	93865	
83719	30280	
13364	72714	
16802	87580	
44083	31089	
91909	59546	
59927	52637	
24888	94990	
50998	79104	
58175	84350	
79658	41629	
50071	110051	
15649	33996	
42510	55732	
54912	43803	
26559	89629	
109109	74895	
101097	90767	
96600	11720	
9004	58353	
20668	57794	
81951	35700	
27416	56183	
58320	80132	
6605	16546	
56281	86682	
83540	109151	
20379	98670	
11206	38383	
111898	82954	
63238	8151	
7285	23226	
14990	43815	
38208	116703	
52693	81240	
91200	8803	
